220407-23:58:31 [INFO] -- 
220407-23:58:31 [INFO] -- 
220407-23:58:31 [INFO] -- ============================================================
220407-23:58:31 [INFO] -- SLCStarter: Application Starting...
220407-23:58:32 [INFO] -- LockerDriver: starting...
220407-23:58:32 [INFO] -- SLSvrHandler: starting...
220407-23:58:32 [INFO] -- OctopusCardReaderDriver: starting...
220407-23:58:32 [INFO] -- timer: starting...
220407-23:58:32 [INFO] -- BarcodeReaderDriver: starting...
220407-23:58:32 [INFO] -- TouchDisplayHandler: starting...
220407-23:58:32 [INFO] -- SLC: starting...
220407-23:58:32 [INFO] -- TouchDisplayHandler: loading fxml: TouchDisplayEmulator.fxml
220407-23:58:33 [INFO] -- TouchDisplayHandler: update display -- MainMenu
220407-23:58:33 [INFO] -- TouchDisplayHandler: loading fxml: TouchDisplayMainMenu.fxml
220407-23:58:33 [INFO] -- MouseCLicked: 333 175
220407-23:58:34 [INFO] -- MouseCLicked: 345 174
220407-23:58:34 [INFO] -- MouseCLicked: 346 173
220407-23:58:34 [INFO] -- MouseCLicked: 346 173
220407-23:58:34 [INFO] -- MouseCLicked: 346 173
220407-23:58:34 [INFO] -- MouseCLicked: 346 173
220407-23:58:35 [INFO] -- MouseCLicked: 346 173
220407-23:58:35 [INFO] -- MouseCLicked: 346 173
220407-23:58:35 [INFO] -- MouseCLicked: 346 173
220407-23:58:35 [INFO] -- MouseCLicked: 346 173
220407-23:58:35 [INFO] -- MouseCLicked: 346 173
220407-23:58:35 [INFO] -- MouseCLicked: 346 173
220407-23:58:38 [INFO] -- Poll: TimesUp 69067 0
220407-23:58:38 [INFO] -- PollAck: TouchDisplayHandler is up!
220407-23:58:38 [INFO] -- PollAck: BarcodeReaderDriver is up!
220407-23:58:38 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220407-23:58:38 [INFO] -- PollAck: LockerDriver is up!
220407-23:58:38 [INFO] -- PollAck: SLSvrHandler is up!
220407-23:58:44 [INFO] -- Poll: TimesUp 76996 0
220407-23:58:44 [INFO] -- PollAck: TouchDisplayHandler is up!
220407-23:58:44 [INFO] -- PollAck: OctopusCardReaderDriver is up!
