220413-04:13:24 [INFO] -- 
220413-04:13:24 [INFO] -- 
220413-04:13:24 [INFO] -- ============================================================
220413-04:13:24 [INFO] -- SLSvrStarter: Application Starting...
220413-04:13:24 [INFO] -- Initialize package data complete.
220413-04:13:25 [INFO] -- timer: starting...
220413-04:13:25 [INFO] -- SLSvr: starting...
220413-04:13:25 [INFO] -- SLSvr: running...
220413-04:13:27 [INFO] -- 127.0.0.1 is connected.
220413-04:13:27 [INFO] -- 127.0.0.1 login as HKGLK01.
220413-04:13:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:13:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:13:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:13:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:13:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:13:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:13:57 [INFO] -- Receive fail from locker #HKGLK01: 1649794437908 Type: BR_GoActive, Detail:
220413-04:14:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:14:05 [INFO] -- Add package #3211-5642 to locker location #HKGLK01 success.
220413-04:14:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:14:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:14:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:14:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:14:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:14:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:14:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:14:48 [INFO] -- verifyBarcode: Success. Verified barcode #3211-5642 for locker #HKGLK01
220413-04:14:48 [INFO] -- SetArrivalTime: Success. Received arrival time for package #3211-5642
220413-04:14:48 [INFO] -- SetPasscode: Success. Received passcode #48658469 for package #3211-5642
220413-04:14:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:14:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:15:03 [INFO] -- Handle Poll for locker #HKGLK01.
